id,mean,2.50%,50%,97.50%,n_na,temp
1,59.95828442,53.15939129,59.73226088,68.21267407,16,17
2,59.74585546,53.01862077,59.52474253,67.88565715,16,17.01
3,59.53536396,52.88042391,59.3177125,67.56458862,16,17.02
4,59.32546173,52.73983034,59.11377599,67.24974736,16,17.03
5,59.11682773,52.6011889,58.91013917,66.93157557,16,17.04
6,58.90943211,52.4643057,58.70566167,66.61347652,16,17.05
7,58.70278341,52.33133402,58.5037545,66.29886832,16,17.06
8,58.49829032,52.19163659,58.30683814,65.98224238,16,17.07
9,58.29416521,52.05604996,58.10406846,65.67642733,16,17.08
10,58.0914647,51.92286931,57.90559116,65.36495115,15,17.09
11,57.89002421,51.79608555,57.7125812,65.06158342,15,17.1
12,57.68972618,51.65917523,57.51533043,64.74879576,15,17.11
13,57.49056498,51.52653884,57.3205753,64.45257595,15,17.12
14,57.29250777,51.39032101,57.12605666,64.15927457,15,17.13
15,57.09553663,51.25687477,56.93655028,63.86988895,15,17.14
16,56.89965889,51.12362277,56.75276273,63.57712803,15,17.15
17,56.70484977,51.00218618,56.56038435,63.29065422,15,17.16
18,56.51060598,50.86603725,56.37411218,63.00142745,14,17.17
19,56.31791251,50.72610567,56.1856203,62.72324587,14,17.18
20,56.12236783,50.58722337,55.99829175,62.45325519,13,17.19
21,55.93554947,50.45154604,55.80809341,62.17661553,14,17.2
22,55.7458729,50.3226602,55.62499316,61.90597014,14,17.21
23,55.55654011,50.18536848,55.44211659,61.62936872,13,17.22
24,55.36863567,50.05559853,55.25704915,61.35148547,13,17.23
25,55.18130243,49.92534056,55.07436267,61.08303001,12,17.24
26,54.99551527,49.79798258,54.89368646,60.81267201,12,17.25
27,54.81123943,49.67140587,54.71382009,60.55588981,13,17.26
28,54.62729834,49.55097764,54.53098778,60.29875299,13,17.27
29,54.44427876,49.42798031,54.35531137,60.04709585,13,17.28
30,54.26215172,49.31171655,54.17952862,59.8007349,13,17.29
31,54.08090905,49.19043676,54.00226539,59.56211354,13,17.3
32,53.89979858,49.06155939,53.81878248,59.31112116,11,17.31
33,53.72078124,48.93466711,53.64253995,59.06904778,12,17.32
34,53.54214047,48.80154991,53.46595992,58.81570102,12,17.33
35,53.36434013,48.66987766,53.29115023,58.56961554,12,17.34
36,53.18735631,48.54059878,53.11612945,58.32771324,12,17.35
37,53.01120378,48.41572677,52.94141767,58.09039596,12,17.36
38,52.8358605,48.29309781,52.76760305,57.84503952,12,17.37
39,52.66131607,48.16785348,52.59574567,57.60481762,12,17.38
40,52.48718537,48.04224452,52.41845766,57.37443766,11,17.39
41,52.31458309,47.91669817,52.24821253,57.14415288,12,17.4
42,52.14237463,47.79056071,52.07726465,56.91104112,12,17.41
43,51.97066402,47.66043764,51.91179962,56.67594408,11,17.42
44,51.80022528,47.53350006,51.74272703,56.44183813,12,17.43
45,51.63027129,47.41194496,51.5748524,56.216763,12,17.44
46,51.46105597,47.29131142,51.40872992,55.99851463,12,17.45
47,51.29252986,47.16504171,51.24123085,55.76218023,12,17.46
48,51.12474449,47.03571464,51.0739015,55.53552876,12,17.47
49,50.95765508,46.91263341,50.91343025,55.31323066,12,17.48
50,50.79074517,46.78560552,50.75068555,55.0902514,11,17.49
51,50.62521398,46.65418973,50.58820357,54.85848854,11,17.5
52,50.45946703,46.52482487,50.42297268,54.62720233,10,17.51
53,50.29512307,46.39983285,50.26173699,54.40697098,10,17.52
54,50.13144261,46.27803041,50.09742047,54.19135978,10,17.53
55,49.96842103,46.15807395,49.93725164,53.96781189,10,17.54
56,49.80604174,46.03917018,49.77103032,53.75175194,10,17.55
57,49.6442264,45.91270792,49.61073765,53.53960259,9,17.56
58,49.48320516,45.78882718,49.45137946,53.32110231,10,17.57
59,49.31800043,45.66130741,49.29408878,53.11611938,10,17.58
60,49.16287634,45.54238409,49.1335933,52.90970841,10,17.59
61,49.00363686,45.41665251,48.97834207,52.69052528,10,17.6
62,48.8450014,45.28785817,48.82203642,52.48399528,10,17.61
63,48.68619667,45.15954114,48.66569616,52.28360196,9,17.62
64,48.52812435,45.0307681,48.51084175,52.08268019,8,17.63
65,48.37128695,44.90975483,48.35602737,51.88674993,8,17.64
66,48.21387987,44.78744138,48.2032215,51.68769615,9,17.65
67,48.05935422,44.67323742,48.04846148,51.48819137,8,17.66
68,47.90424773,44.55161652,47.8906317,51.28736083,8,17.67
69,47.74919399,44.43080101,47.73719051,51.09028465,7,17.68
70,47.59522035,44.31524844,47.58339658,50.89877966,7,17.69
71,47.44151823,44.1931631,47.43224498,50.70475068,6,17.7
72,47.28399838,44.0741714,47.28180597,50.52179705,6,17.71
73,47.13582529,43.96034322,47.12928111,50.3281432,5,17.72
74,46.9818105,43.83469723,46.9780696,50.13403245,4,17.73
75,46.82624972,43.70150212,46.82796979,49.93959185,4,17.74
76,46.68124104,43.58700585,46.67731228,49.74698535,3,17.75
77,46.52622638,43.46687714,46.52834267,49.55933669,2,17.76
78,46.37977977,43.3531378,46.37951035,49.36611116,2,17.77
79,46.23197555,43.23886995,46.23067617,49.18203308,2,17.78
80,46.08352381,43.1165471,46.08524226,48.99834924,2,17.79
81,45.93087984,42.99911448,45.93641003,48.81288874,2,17.8
82,45.78778548,42.88777266,45.78869749,48.63053574,2,17.81
83,45.64081088,42.76914548,45.64190444,48.45072818,2,17.82
84,45.49425345,42.65288736,45.49630172,48.26741231,2,17.83
85,45.34819834,42.53561057,45.35135751,48.09178701,2,17.84
86,45.19803555,42.41882371,45.2063841,47.91460722,2,17.85
87,45.05758114,42.3091806,45.06554251,47.74044904,2,17.86
88,44.91301479,42.1911496,44.92137625,47.56981133,2,17.87
89,44.76891229,42.06916163,44.77606337,47.3926986,2,17.88
90,44.62533672,41.94843522,44.63551262,47.21635897,2,17.89
91,44.48256804,41.83572158,44.49333348,47.04016737,3,17.9
92,44.33964389,41.72093765,44.35163934,46.8654976,2,17.91
93,44.19747364,41.60627647,44.21154025,46.69439794,1,17.92
94,44.05582641,41.49029847,44.07124415,46.52852411,1,17.93
95,43.91462985,41.37524396,43.93086046,46.35802365,1,17.94
96,43.77396915,41.26271609,43.79111825,46.1905273,1,17.95
97,43.63377255,41.15241283,43.65201876,46.03042661,1,17.96
98,43.4940202,41.03112675,43.51230047,45.8654819,1,17.97
99,43.35150454,40.91970972,43.37309701,45.69737037,1,17.98
100,43.2115063,40.80276987,43.23300989,45.53131199,1,17.99
