,nicd_no,original_no,ecological_zone,locality,village,longitude,latitude,date,temp_indoor,sat_temp,sat_temp_min,sat_temp_max,satelite_outdoor_rh,temp,rh,li,ws,resting_site,material_type,resting_surface,material_colour,movability,morphological_id,molecular_id,sp_elisa,species,blood_source,point_x,point_y,days_count,date_label,mosquito_ID,SDT_24.11,SDT_24.23,SDT_24.90,SDT_24.94,SDT_25.26,SDT_25.43,SDT_25.60,SDT_25.68,SDT_25.71,SDT_26.38,SDT_27.19,SDT_27.27,SDT_27.36,SDT_27.64,SDT_27.90,avg_sim_sat,observed_date_level_SDT,model_predicted_Mean_Temp,mean_simulated_MRST
1,GH001,GH001,Coastal Savanna,Shai Osudoku District,Osorogma,N05-52.757,W000-06.563,9/2/2011,29.3,24.9,22.47,29.88,81.4,29.8,69.9,6,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-0.097579996,5.886011428,1,2-Sep-11,1,25.87,28.29,24.75,31.79,29.15,28.72,25.88,32.53,28.17,27.94,25.86,32.37,34.13,32.5,33.83,29.45,24.9,28.12555709,28.16598823
2,GH002,GH002,Coastal Savanna,Shai Osudoku District,Osorogma,N05-52.758,W000-06.564,9/2/2011,29.3,24.9,22.47,29.88,81.4,29.8,68.4,2,0,Roofing beam,Bamboo,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-0.097589996,5.886021428,1,2-Sep-11,2,26.67,28.1,26.02,28.37,23.45,23.25,24.83,29.86,27.63,29.83,31.05,28.81,33.16,25.53,31.91,27.9,24.9,28.12555709,28.14949765
3,GH004,GH004,Coastal Savanna,Shai Osudoku District,Osorogma,N05-52.759,W000-06.565,9/2/2011,29.3,24.9,22.47,29.88,81.4,29.1,69.7,2,0,Roofing beam,Wood,R_1,Normal,No,gambiae,gambiae,negative,gambiae,undetected,-0.097599996,5.886031428,1,2-Sep-11,3,31.02,24.93,27.73,28.45,25.09,25.75,27.81,28.16,31.57,28.05,27.1,30.11,29.33,30.84,30.84,28.45,24.9,28.12555709,28.1960425
4,GH005,GH005,Coastal Savanna,Shai Osudoku District,Osorogma,N05-52.760,W000-06.566,9/2/2011,29.3,24.9,22.47,29.88,81.4,29.2,69.3,3,0,Roof,Aluminium,R_3,Smoke tanned,No,gambiae,gambiae,negative,gambiae,undetected,-0.097609996,5.886041428,1,2-Sep-11,4,27.4,27.42,34.32,28.96,25.92,27.95,30.57,30.77,31.75,30.33,30.39,28.16,31.59,27.7,29.95,29.55,24.9,28.12555709,28.23946173
5,GH006,GH006,Coastal Savanna,Shai Osudoku District,Osorogma,N05-52.761,W000-06.567,9/2/2011,29.3,24.9,22.47,29.88,81.4,29.6,69.9,0,0,Table,Wood,R_1,Normal,Yes,gambiae,gambiae,negative,gambiae,undetected,-0.097619996,5.886051428,1,2-Sep-11,5,27.55,24.75,23.61,26.06,25.91,30.45,28.34,27.89,30.69,25.47,30.13,32.21,30.55,30.38,30.62,28.31,24.9,28.12555709,28.11589549
6,GH011,GH011,Coastal Savanna,Gomoa East,Adawukwa,N05-24.960,W000-36.729,9/6/2011,30.1,25.43,24.05,28.26,86.22,28,76.2,0,0,Roof,Brick tile,R_3,Normal,No,gambiae,gambiae,negative,coluzzii,undetected,-0.612436019,5.415015585,2,6-Sep-11,6,31.4,29.1,30.87,28.05,28.79,27.94,26,33.1,29.58,30.49,33.07,34.09,32.12,27.32,30.84,30.18,25.43,28.72421353,28.69366811
7,GH012,GH012,Coastal Savanna,Gomoa East,Adawukwa,N05-24.961,W000-36.730,9/6/2011,30.1,25.43,24.05,28.26,86.22,28,75.6,7,0,Roof,Brick tile,R_3,Normal,No,gambiae,gambiae,negative,coluzzii,undetected,-0.612446019,5.415025585,2,6-Sep-11,7,28.35,30,26.85,30.38,32.41,30.04,34.15,29.36,32.91,28.25,29.15,31.99,30.79,34.06,34.16,30.86,25.43,28.72421353,28.74712846
8,GH013,GH013,Coastal Savanna,Gomoa East,Adawukwa,N05-24.962,W000-36.731,9/6/2011,30.1,25.43,24.05,28.26,86.22,28.7,73.1,1,0,Roofing beam,Wood,R_1,Normal,No,gambiae,funestus,negative,funestus,undetected,-0.612456019,5.415035585,2,6-Sep-11,8,24.16,21.97,32.17,26.35,24.85,26.14,30.62,24.08,26.59,32.08,29.1,28.59,32.05,30.55,29.62,27.93,25.43,28.72421353,28.62765499
9,GH014,GH014,Coastal Savanna,Gomoa East,Adawukwa,N05-24.963,W000-36.732,9/6/2011,30.1,25.43,24.05,28.26,86.22,29,73.4,0,0,Roof,Brick tile,R_3,Normal,No,gambiae,gambiae,negative,coluzzii,undetected,-0.612466019,5.415045585,2,6-Sep-11,9,25.57,30.37,25.36,27.39,29.58,28.06,33.64,27.86,31.8,25.01,25.92,34.72,30.62,30.75,35.5,29.48,25.43,28.72421353,28.69568017
10,GH015,GH015,Coastal Savanna,Gomoa East,Adawukwa,N05-24.964,W000-36.733,9/6/2011,30.1,25.43,24.05,28.26,86.22,28.7,73.3,0,0,Wall,Cement,R_3,White,Yes,gambiae,gambiae,negative,coluzzii,undetected,-0.612476019,5.415055585,2,6-Sep-11,10,26.15,24.36,28.47,25.39,30.72,29.25,31.86,25.04,33.2,29.9,32.22,30.41,33.22,34.84,31.1,29.74,25.43,28.72421353,28.73422048
